timestamp,event_type,symbol,side,price,qty,reason,status,pnl
2026-03-17 23:04:56,TRADE,ETHUSDT,SELL,2321.64,0.016,,,0.0
2026-03-17 23:05:06,TRADE,ETHUSDT,SELL,2321.63,0.014,,,0.0
2026-03-17 23:05:24,TRADE,ETHUSDT,SELL,2322.15,0.016,,,0.0
2026-03-17 23:05:44,TRADE,ETHUSDT,SELL,2323.68,0.023,,,0.0
2026-03-17 23:06:03,TRADE,SOLUSDT,SELL,93.67,0.36,,,0.0
2026-03-17 23:06:06,TRADE,ETHUSDT,SELL,2322.71,0.019,,,0.0
2026-03-17 23:06:27,TRADE,ETHUSDT,SELL,2324.83,0.019,,,0.0
2026-03-17 23:06:56,TRADE,ETHUSDT,BUY,2325.56,0.017,,,0.0
2026-03-17 23:07:09,TRADE,ETHUSDT,BUY,2326.75,0.023,,,0.0
2026-03-17 23:07:22,TRADE,ETHUSDT,BUY,2327.2,0.017,,,0.0
2026-03-17 23:07:39,TRADE,ETHUSDT,BUY,2329.91,0.017,,,0.0
2026-03-17 23:07:52,TRADE,ETHUSDT,BUY,2329.02,0.017,,,0.0
2026-03-17 23:08:03,TRADE,SOLUSDT,BUY,93.96,0.36,,,0.0
2026-03-17 23:08:08,TRADE,ETHUSDT,BUY,2328.67,0.014,,,0.0
2026-03-17 23:08:24,TRADE,ETHUSDT,BUY,2330.43,0.019,,,0.0
2026-03-17 23:08:37,TRADE,ETHUSDT,SELL,2331.13,0.017,,,0.0
2026-03-17 23:08:48,TRADE,ETHUSDT,SELL,2331.63,0.019,,,0.0
2026-03-17 23:09:44,TRADE,ETHUSDT,SELL,2331.03,0.014,,,0.0
2026-03-17 23:10:18,TRADE,ETHUSDT,SELL,2331.4,0.017,,,0.0
2026-03-17 23:10:31,TRADE,ETHUSDT,BUY,2332.2,0.017,,,0.0
2026-03-17 23:10:43,TRADE,ETHUSDT,SELL,2331.01,0.019,,,0.0
2026-03-17 23:10:50,TRADE,SOLUSDT,BUY,94.08,0.36,,,0.0
2026-03-17 23:10:55,TRADE,ETHUSDT,BUY,2331.2,0.014,,,0.0
2026-03-17 23:11:16,TRADE,SOLUSDT,SELL,94.05,0.36,,,0.0
2026-03-17 23:11:18,TRADE,ETHUSDT,SELL,2330.07,0.014,,,0.0
2026-03-17 23:11:31,TRADE,ETHUSDT,SELL,2328.89,0.017,,,0.0
2026-03-17 23:11:48,TRADE,ETHUSDT,SELL,2328.58,0.017,,,0.0
2026-03-17 23:11:59,TRADE,ETHUSDT,SELL,2327.67,0.023,,,0.0
2026-03-17 23:12:20,TRADE,ETHUSDT,SELL,2325.77,0.023,,,0.0
2026-03-17 23:12:41,TRADE,ETHUSDT,SELL,2326.6,0.019,,,0.0
2026-03-17 23:12:42,TRADE,SOLUSDT,BUY,93.96,0.36,,,0.0
2026-03-17 23:13:11,TRADE,ETHUSDT,BUY,2329.18,0.017,,,0.0
2026-03-17 23:13:36,TRADE,ETHUSDT,BUY,2331.36,0.017,,,0.0
